sound,sound_ipa,target,word,gloss,position,manner,place,laryngeal,category,following_vowel,stress,documented_asp,probe,provenance,preceding_seg,notes
p,p,p,pablú,to burrow,initial,stop,labial,plain,stop_plain,a,unstressed,,,,,
p,p,p,tópa,four,intervocalic,stop,labial,plain,stop_plain,a,unstressed,,,,,
p,p,p,po,"plural imperative indicator, masc. tx",initial,stop,labial,plain,stop_plain,o,unstressed,,,,,
p,p,p,nitéhepi,lower body,intervocalic,stop,labial,plain,stop_plain,i,unstressed,,,,,
t,t,t,takúŋlȟčiŋ,"something, anything [in a question]",initial,stop,coronal,plain,stop_plain,a,unstressed,,,,,
t,t,t,yúta,to eat something,intervocalic,stop,coronal,plain,stop_plain,a,unstressed,,,,,
t,t,t,tiktíča,to be sticky and soft,initial,stop,coronal,plain,stop_plain,i,unstressed,,,,,
t,t,t,niyáte,your father,intervocalic,stop,coronal,plain,stop_plain,e,unstressed,,,,,
k,k,k,kíŋzA,to whine or moan,initial,stop,velar,plain,stop_plain,iŋ,stressed,,,,,
k,k,k,kiwáštečakA,to be nice or pleasant to somebody,intervocalic,stop,velar,plain,stop_plain,a,unstressed,,,,,
k,k,k,kazé,to ladle,initial,stop,velar,plain,stop_plain,a,stressed,,,,,
k,k,k,tíŋsko,how big?,intervocalic,stop,velar,plain,stop_plain,o,unstressed,,,,,
ph,pʰ,ph,phiyá,"again, anew",initial,stop,labial,aspirated_glottal,stop_aspirated,i,unstressed,,,,,
ph,pʰ,ph,ȟ'aŋmáphiča,I can do it,intervocalic,stop,labial,aspirated_glottal,stop_aspirated,i,unstressed,,,,,
ph,pʰ,ph,pheží,grass,initial,stop,labial,aspirated_glottal,stop_aspirated,e,unstressed,glottal,,,,
ph,pʰ,ph,íphi,be full,intervocalic,stop,labial,aspirated_glottal,stop_aspirated,i,unstressed,,,,,
p',pʼ,p',p'ó,"fog, mist, steam",initial,stop,labial,ejective,stop_ejective,o,stressed,,,,,
